elr,mileage_raw,mileage_ch,mileage_decimal,type,name,easting,northing,latitude,longitude
CGJ7,24.1618,24m 74ch,24.1618,Authorised Access Point '-' Pedestrian,BRIDGE 85  BECK HOUSES,357998.0,496207.0,54.35951,-2.64642
CGJ7,25.0012,25m 01ch,25.0012,Authorised Access Point '-' Pedestrian,LAMBRIGG No.2 FOOT XING,358150.0,496222.0,54.35966,-2.64408
CGJ7,26.0194,26m 09ch,26.0194,Authorised Access Point '-' Pedestrian,GRAYRIGG BY TSE,359841.0,496077.0,54.35849,-2.61804
CGJ7,26.0327,26m 15ch,26.0327,Authorised Access Point '-' Vehicle,GRAYRIGG TSC,359886.0,496098.0,54.35868,-2.61735
CGJ7,26.0485,26m 22ch,26.0485,Authorised Access Point '-' Vehicle,GRAYRIGG,360007.0,496120.0,54.35889,-2.61549
CGJ7,26.1581,26m 72ch,26.1581,Authorised Access Point '-' Vehicle,HIGH HO,361030.0,496472.0,54.36213,-2.59979
CGJ7,27.0672,27m 31ch,27.0672,Authorised Access Point '-' Vehicle,BECK FOOT FARM,361685.0,496811.0,54.36523,-2.58975
CGJ7,28.0156,28m 07ch,28.0156,Authorised Access Point '-' Vehicle,LOWGILL GROUNDFRAME,362066.0,496988.0,54.36685,-2.58391
CGJ7,30.1513,30m 69ch,30.1513,Authorised Access Point '-' Pedestrian,BARROWBRIDGE  <BRIDGE 104>,360938.0,501619.0,54.40838,-2.60188
CGJ7,31.1107,31m 50ch,31.1107,Authorised Access Point '-' Pedestrian,TEBAY,361239.0,502837.0,54.41935,-2.5974
CGJ7,32.0287,32m 13ch,32.0287,Authorised Access Point '-' Pedestrian,TEBAY SATS 25KV SUBSTATION,361297.0,503682.0,54.42695,-2.59662
CGJ7,32.0316,32m 14ch,32.0316,Authorised Access Point '-' Vehicle,TEBAY YARD TIMBER XING,361337.0,503793.0,54.42795,-2.59602
CGJ7,32.0682,32m 31ch,32.0682,Authorised Access Point '-' Pedestrian,Shap,361278.0,504102.0,54.43073,-2.59697
CGJ7,33.1322,33m 60ch,33.1322,Authorised Access Point '-' Vehicle,BRIDGE No.112,360192.0,505941.0,54.44717,-2.61396
CGJ7,34.1344,34m 61ch,34.1344,Authorised Access Point '-' Vehicle,SCOUT GREEN SOUTH,359840.0,507527.0,54.4614,-2.6196
CGJ7,35.0252,35m 11ch,35.0252,Authorised Access Point '-' Vehicle,SCOUT GREEN NORTH,359450.0,507966.0,54.46531,-2.62568
CGJ7,35.1463,35m 66ch,35.1463,Authorised Access Point '-' Vehicle,HAYBANK TIMBER XING,358884.0,508917.0,54.47381,-2.63454
CGJ7,36.0404,36m 18ch,36.0404,Authorised Access Point '-' Pedestrian,SALTERWATH '-' BRIDGE No.115,358543.0,509468.0,54.47874,-2.63988
CGJ7,36.0990,36m 45ch,36.099,Authorised Access Point '-' Pedestrian,Shap Wells Hotel,358201.0,509860.0,54.48223,-2.64522
CGJ7,37.1290,37m 59ch,37.129,Authorised Access Point '-' Vehicle,Shap Summit Quarry,356964.0,511269.0,54.49479,-2.66451
CGJ7,37.1326,37m 60ch,37.1326,Authorised Access Point '-' Road'-'Rail Machines,SHAP QUARRY,356940.0,511295.0,54.49502,-2.66489
